happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,A fair amount,No, ,Yes,About once a week,No, ,Never,Never,"Rarely, or",Never,Not Lonely,4,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a month,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Not a reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,Looking at what other people are doing,Strengthened,Better,Equally satisfied,More satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A lot,Yes,Once or twice a month,No, ,No, ,Sometimes,Never,"Rarely, or",Sometimes,Not Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,Every day,A few times a week,A few times a month,A few times a week,A few times a month,Every day,Only a little,More of an individual problem,Minor role,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Not a reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,More satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,A few times a year,No, ,Yes,Several times a week,Never,Never,Never,Never,Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,A few times a week,A few times a week,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Not sure,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat dissatisfied,Very satisfied,Not sure,Very satisfied,No one,Yes,Several times a week,No, ,No, ,Often,Often,Sometimes,Often,Lonely,5,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,Never (Vol.),Every day,A few times a week,Not sure,A few times a year,A few times a week,Some,More of a public health problem,No role at all,Minor role,No role at all,No role at all,Mostly have themselves to blame,Not a reason,Not a reason,Major reason,Minor reason,Not a reason,Yes,Yes,Every day,More than half an hour but less than one hour,Looking at what other people are doing,Not sure,Not sure,Equally satisfied,Equally satisfied,"No, would not recommend",Easier,Minor problem,Death/loss of parent,Loneliness comes and goes,Three to five years,Somewhat negative,No impact,No impact,Somewhat negative,Never,Never,Never,Never,Almost always,Sometimes,Sometimes,Never,Sometimes,Never,Yes,No,No,No,No,No,Not too helpful, , , , , , ,No,No
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Several times a week,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Every day,Every day,Every day,Every day,Nothing at all,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Minor reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,More satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,Never,Sometimes,Sometimes,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,Every day,Every day,A few times a week,Some,More of an individual problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Once or twice a month,No, ,Never,Never,Never,Never,Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,Every day,A few times a month,A few times a month,Every day,Nothing at all,More of an individual problem,No role at all,Major role,Major role,Major role,Both equally/It depends (Vol.),Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,An equal mix of both,Strengthened,Better,Less satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very dissatisfied,Very dissatisfied,Very dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Often,Often,Often,Never,Lonely,2,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Every day,Not sure,A few times a week,Less than that,Less than that,A few times a month,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Not a reason,Not a reason,Not a reason,Minor reason,Major reason,Yes,Yes,Once or twice a month, ,Looking at what other people are doing,Not sure,No impact (Vol.),Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference,Major problem,Not working/stopped working,Loneliness comes and goes,One to two years,Very negative,Very negative,Very negative,Very negative,Rarely,Never,Never,Rarely,Almost always,Never,Almost always,Never,Never,Sometimes,Yes,Yes,Yes,Yes,No,No,Not at all helpful, , , , , , ,No,No
Very happy,Very satisfied,Very satisfied,Declined to answer,Very satisfied,A fair amount,No, ,Yes,About once a week,No, ,Never,Never,Never,Never,Not Lonely,10,Somewhat satisfied,Very satisfied,Very satisfied,Every day,A few times a month,A few times a week,A few times a week,Every day,Every day,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,Looking at what other people are doing,Strengthened,Not sure,Equally satisfied,More satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,Just a few,Yes,Several times a week,Yes,Several times a week,Yes,Several times a week,"Rarely, or",Always,"Rarely, or","Rarely, or",Lonely,10,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,Every day,Every day,A lot,More of a public health problem,Minor role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,2 hours or more,Engaging in conversations with other people,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Harder,Isn't really a problem,Declined to answer,Declined to answer,Declined to answer,Declined to answer,Declined to answer,Declined to answer,Declined to answer,Rarely,Rarely,Never,Almost always,Sometimes,Rarely,Rarely,Never,Never,Never,Declined to answer, , , , , , , , , , , , ,No,Yes
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,Yes,About once a week,"Rarely, or","Rarely, or","Rarely, or",Never,Not Lonely,2,Somewhat satisfied,Somewhat satisfied,Very satisfied,Every day,A few times a month,A few times a year,A few times a week,A few times a month,A few times a week,A lot,More of an individual problem,No role at all,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Not a reason,Minor reason,Minor reason,Not a reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Somewhat satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,10,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a month,Every day,A few times a year,Every day,Every day,Every day,Nothing at all,More of an individual problem,No role at all,No role at all,No role at all,No role at all,Due to factors and circumstances beyond their control,Major reason,Not a reason,Not a reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Declined to answer,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,Yes,Several times a week,No, ,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,5,Not sure,Very satisfied,Somewhat satisfied,A few times a year,A few times a week,Every day,A few times a week,A few times a week,Every day,Some,More of a public health problem,Minor role,Major role,Minor role,Major role,Both equally/It depends (Vol.),Major reason,Not a reason,Not a reason,Not sure,Minor reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,More satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A fair amount,Yes,Several times a week,Yes,About once a week,No, ,Often,Often,Sometimes,Sometimes,Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a month,A few times a year,A few times a year,A few times a month,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,Engaging in conversations with other people,Strengthened,Better,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference,Major problem,Lack of companionship/a relationship,Loneliness comes and goes,Six to ten years,Somewhat negative,No impact,No impact,No impact,Almost always,Never,Never,Almost always,Never,Sometimes,Almost always,Never,Never,Never,Yes,No,Yes,No,No,No,Very helpful, , , , , , ,No,No
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Very dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Sometimes,Never,Always,Always,Lonely,2,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,Never (Vol.),Never (Vol.),Never (Vol.),Less than that,Nothing at all,More of an individual problem,Major role,Minor role,Major role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Minor reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Six to ten years,No impact,No impact,No impact,Very negative,Sometimes,Never,Never,Never,Almost always,Sometimes,Almost always,Never,Almost always,Never,Yes,Yes,No,Yes,Yes,No,Not at all helpful, , , , , , ,Yes,Yes
Somewhat happy,Somewhat dissatisfied,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,No one,No, ,No, ,No, ,Often,Often,Often,Often,Lonely,No one,Somewhat satisfied,Very dissatisfied,Somewhat dissatisfied,Every day,Less than that,Less than that,A few times a month,Less than that,A few times a month,Some,More of a public health problem,Major role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Not a reason,Yes,Yes,A few times a week,At least an hour but less than 2 hours,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference,Minor problem,Death/loss of parent,Loneliness comes and goes,Six to ten years,Somewhat negative,No impact,Somewhat negative,No impact,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,Yes,Yes,Yes,No,No,Yes,Not too helpful, , , , , , ,No,No
Somewhat happy,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Never,Never,Not Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a month,A few times a year,A few times a month,A few times a week,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
